date,kind,note
1851-01-07,ordinary,
1851-01-14,ordinary,
1851-01-21,ordinary,
1851-01-28,ordinary,
1851-02-11,ordinary,
1851-02-18,ordinary,
1851-02-25,ordinary,
1851-03-04,ordinary,
1851-03-11,ordinary,
1851-03-18,ordinary,
1851-03-25,ordinary,
1851-04-01,ordinary,
1851-04-08,ordinary,
1851-04-15,ordinary,
1851-04-22,ordinary,
1851-04-29,ordinary,
1851-05-06,ordinary,
1851-05-13,ordinary,
1851-05-15,fair,spring fair
1851-05-20,ordinary,
1851-05-27,ordinary,
1851-06-03,ordinary,
1851-06-10,ordinary,
1851-06-17,ordinary,
1851-06-24,ordinary,
1851-07-01,ordinary,
1851-07-08,ordinary,
1851-07-15,ordinary,
1851-07-22,ordinary,
1851-07-29,ordinary,
1851-08-05,ordinary,
1851-08-19,ordinary,
1851-08-26,ordinary,
1851-09-02,ordinary,
1851-09-09,ordinary,
1851-09-16,ordinary,
1851-09-23,ordinary,
1851-09-30,ordinary,
1851-10-07,ordinary,
1851-10-09,fair,autumn fair
1851-10-14,ordinary,
1851-10-21,ordinary,
1851-10-28,ordinary,
1851-11-04,ordinary,
1851-11-11,ordinary,
1851-11-18,ordinary,
1851-11-25,ordinary,
1851-12-02,ordinary,
1851-12-09,ordinary,
1851-12-16,ordinary,
1851-12-23,ordinary,
1852-01-06,ordinary,
1852-01-13,ordinary,
1852-01-20,ordinary,
1852-01-27,ordinary,
1852-02-03,ordinary,
1852-02-10,ordinary,
1852-02-17,ordinary,
1852-02-24,ordinary,
1852-03-09,ordinary,
1852-03-16,ordinary,
1852-03-23,ordinary,
1852-03-30,ordinary,
1852-04-06,ordinary,
1852-04-13,ordinary,
1852-04-20,ordinary,
1852-04-27,ordinary,
1852-05-04,ordinary,
1852-05-11,ordinary,
1852-05-13,fair,spring fair
1852-05-18,ordinary,
1852-05-25,ordinary,
1852-06-01,ordinary,
1852-06-08,ordinary,
1852-06-15,ordinary,
1852-06-22,ordinary,
1852-06-29,ordinary,
1852-07-06,ordinary,
1852-07-13,ordinary,
1852-07-20,ordinary,
1852-07-27,ordinary,
1852-08-03,ordinary,
1852-08-10,ordinary,
1852-08-17,ordinary,
1852-08-24,ordinary,
1852-08-31,ordinary,
1852-09-07,ordinary,
1852-09-14,ordinary,
1852-09-21,ordinary,
1852-09-28,ordinary,
1852-10-05,ordinary,
1852-10-12,ordinary,
1852-10-14,fair,autumn fair
1852-10-19,ordinary,
1852-10-26,ordinary,
1852-11-02,ordinary,
1852-11-09,ordinary,
1852-11-16,ordinary,
1852-11-23,ordinary,
1852-11-30,ordinary,
1852-12-07,ordinary,
1852-12-14,ordinary,
1852-12-21,ordinary,
1852-12-28,ordinary,
